ward;Total people, total personal income;  Loss;  Zero income;  $1-$5,000;  $5,001-$10,000;  $10,001-$15,000;  $15,001-$20,000;  $20,001-$25,000;  $25,001-$30,000;  $30,001-$35,000;  $35,001-$40,000;  $40,001-$50,000;  $50,001-$60,000;  $60,001-$70,000;  $70,001-$100,000;  $100,001-$150,000;  $150,001 or more;  Total people stated;  Not stated
  Adelaide;;975;0;30;93;108;120;57;42;45;42;42;75;66;48;60;18;6;855;117
  Oriental Bay;;981;0;33;30;21;45;51;42;33;33;45;81;78;78;132;72;138;915;63
  Roseneath;;1539;6;81;57;54;57;66;51;60;48;63;126;135;129;219;162;162;1482;57
  Hataitai North;;3744;12;201;177;132;177;201;171;159;159;189;330;291;237;453;378;258;3537;207
  Kilbirnie East;;2661;15;162;132;132;216;261;201;165;138;156;207;165;111;198;75;21;2361;300
  Kilbirnie West-Hataitai South;;2718;12;153;108;105;174;171;165;129;135;153;237;210;198;279;180;96;2511;204
  Evans Bay Marina;;18;..;..;..;..;..;..;..;..;..;..;6;..;..;..;..;..;21;..
  Lyall Bay-Airport-Moa Point;;2433;3;135;105;96;189;177;135;138;117;123;213;177;147;237;165;69;2226;207
  Seatoun Tunnel West;;561;0;51;30;15;39;30;33;21;24;24;39;36;39;60;42;36;525;36
  Strathmore Park;;2847;18;225;177;156;216;198;159;132;126;135;219;177;132;231;150;96;2550;297
  Miramar South;;2862;9;219;132;135;231;249;180;141;138;144;261;216;162;222;126;66;2628;234
  Miramar North;;1920;3;114;102;87;123;117;102;99;87;96;168;129;117;198;153;75;1770;153
  Miramar;;1944;3;117;81;87;135;180;147;123;105;126;177;135;96;156;84;54;1803;138
  Karaka Bay-Worser Bay;;1161;3;81;57;27;63;60;42;48;54;33;81;72;72;120;126;165;1104;57
  Seatoun;;1671;3;156;102;45;69;81;69;69;69;57;96;99;84;144;168;285;1602;66
  Maupuia;;1218;6;96;57;57;78;63;66;57;54;75;102;87;63;129;57;36;1080;138
  Miramar West;;288;3;33;24;15;15;18;12;6;15;12;33;18;12;18;6;9;252;36
  Makara-Ohariu;;681;0;48;39;21;33;33;45;30;30;33;54;30;63;69;51;48;630;48
